Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Link
TFSC,1347 Capital Corp.,9.9,$58.89M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSRy_K_zo1qiJHTVkMCfBardqyOVspzfSr2jfXbEZ4cy_EiBt9xPv4RLZz5
TFSCR,1347 Capital Corp.,0.27,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSRy_K_zo1qiJHTVkMCfBardqyOVspzfSr2jfXbEZ4cy_EiBt9xPv4RLZz5
TFSCU,1347 Capital Corp.,10.22,$42.72M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSRy_K_zo1qiJHTVkMCfBardqyOVspzfSr2jfXbEZ4cy_EiBt9xPv4RLZz5
TFSCW,1347 Capital Corp.,0.16,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSRy_K_zo1qiJHTVkMCfBardqyOVspzfSr2jfXbEZ4cy_EiBt9xPv4RLZz5
PIH,"1347 Property Insurance Holdings, Inc.",5.61,$34.33M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRzzJJTnngoOe5RrkogiArZt1x7BDYK6YdWlloOdVmjXXBCCNu_DrtyWVc
FLWS,"1-800 FLOWERS.COM, Inc.",7.98,$516.35M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRrwLIa-VQbWLBh5AkoSfnXTCY1RCSEoUd8JVS2v_PlZvddSAbGqVHlTf-r
FCTY,"1st Century Bancshares, Inc",10.97,$113.4M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnQB70Xi_t12uX56zy8PJuPDvVdlpXd6vESh_cLpaImaDoD_7qFxOMf84
FCCY,1st Constitution Bancorp (NJ),12.72,$101.18M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSGZ4vvkRCOcm0h041qokWjaaWSSg-n8yVRYRhYHUs7cCszVfUR_N3yP2o
SRCE,1st Source Corporation,33.63,$870.35M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTiod62Gzo9gvXzJiIC8CAAaZTqVu8lx0sm5_3eV_R1mT3KpCPSHyuSlg
VNET,"21Vianet Group, Inc.",20.67,$1.8B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcStY6SXaA7un2u0I-vLv4wmg8arL9S7bP9u5T_P3MA1iywkguhY7DS4W-c
TWOU,"2U, Inc.",27.75,$1.28B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRbLKECEN-0_ZXinxSWpfbWnVFK9M6J5tnv8NT6d87IHc5u9HZ9_FeI4A
JOBS,"51job, Inc.",31.7,$1.87B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9hHjsYGOZtqPlV76si6MAUsnH8bXwgF-L3wyLmgBYZJ_QGi40w8bFawE
CAFD,8point3 Energy Partners LP,15.88,$1.13B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSchketmM5k56wvpXWCAyljhkR-coVadY7rO9iLtqIkPeiCTmvNjH_8UQ
EGHT,8x8 Inc,11.46,$1.01B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ9XyElzo_51gSl4j774M09rWKK_qeh1_loVz2LjzfF_gW_uL833gb_Q
AVHI,"A V Homes, Inc.",10.99,$248.9M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQYejqdjHYNh-2072oSbi7x314ou7BF6mHxF-VDqwXjRMfJ0EdnVnPD-Q
SHLM,"A. Schulman, Inc.",28.68,$844.03M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR5ZZEBgirjUSVnpSVF31bv4xyLNe5ALMmX0p_UTbYlrbIfpMMjFyi2NjE
AAON,"AAON, Inc.",27.54,$1.46B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRdFtYgXKu6zqpVWBJq21HvelK6guNYGOKbhueepcXmSrTy9py17EuRXVM
ABAX,"ABAXIS, Inc.",46.45,$1.05B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSgt9OGBzkKcgLbsR5R1oSswYZEJ94RldmD_6RGve8HbM_jU-SYXefukQg
ABY,Abengoa Yield plc,18.67,$1.87B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT-LkCAESOPJlUb1qX4334CO2JcSVOMkIHE4r5ItDAontOGQlEWbn61Nw
ABGB,"Abengoa, S.A.",1.35,$248.62M,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQhqhGUOrPXzAA2wT6DyGtX-gPCEclslAPBNjZfX-NC58t86Iyqlsy2NA
ABEO,Abeona Therapeutics Inc.,2.77,$90.7M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRPga26bK7j9PewR1tgGxN0EsiPwrHkO-IOVl2uer8pSteHVRkPZusPRw7o
ABEOW,Abeona Therapeutics Inc.,0.75,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRPga26bK7j9PewR1tgGxN0EsiPwrHkO-IOVl2uer8pSteHVRkPZusPRw7o
ABIL,Ability Inc.,7.2,$75.85M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTQmP-fTxOHsnTE6vz-PLTcqmaebITVX9-VMxiXQjW3JcYkSVlTwbCQKps
ABMD,"ABIOMED, Inc.",101.83,$4.32B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTWWuat2u9O1zbvKcTzsC-Y_WI4jX4B-RPwiOfQk2Slkz3uv2Y5ZGYDjbk
AXAS,Abraxas Petroleum Corporation,1.17,$124.42M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTBUfzv-N7DWIFhZaJsnBpGiZbIndFaTQJNHg14Ph6NJR737ie4Na8zug
ACTG,Acacia Research Corporation,4.35,$219.5M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2hRJmXKX_Z6VHfKXGiKL29PJRk1f7ZDwpX0Eo8ejv2BFeuOQgoMoAbyE
ACHC,"Acadia Healthcare Company, Inc.",63.33,$5.52B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxfqi41FfD9rdG850YLhzKfkkqz_awkyFVeRhNvp5huDHlj-KFG4mvfYc
ACAD,ACADIA Pharmaceuticals Inc.,34.02,$3.83B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR3FWHAiaN7AcCXrpC7W5i4dyCnVTnQb_t4VxW__7kQtNpLBmbdZwKJZw
ACST,"Acasti Pharma, Inc.",1.45,$15.53M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRyQbDu7GK0Tg43WdDWkvOo_z_DiotJSiFyDCxOOWcqGabvcIPxKOhQPkcx
AXDX,"Accelerate Diagnostics, Inc.",13.49,$690.67M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTPqyDHPW_5NN_hFMhaLZ0cpuKbHu4oSujg4gPt2ybju3lRj9XMO_kl8Q
XLRN,Acceleron Pharma Inc.,32.2,$1.19B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnGUPVX6RkiNiJsc2GNsjDme8bfhQoDpzaep4uSsb2DGCLZQCCeoZj9K0
ANCX,Access National Corporation,20.69,$218.47M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTnyaOK-Tf1AVAn6ZmwWvQsDzgLz_Ph-N2rVLw4wnf3w-lygXWV0ev77QU
ARAY,Accuray Incorporated,6.13,$495.57M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQCtgQ-VjG-j4-crR_0CWUXTbNWDo5d7g1L1h-Ob_LFCJcv63vdTJ4cEU4
VXDN,AccuShares Spot CBOE VIX Down Shares,4.99,$2.12M,n/a,Others,n/a,http://www.nasdaq.com/symbol/vxdn,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUOm7aACCjaL9kMMpt7N21FlGOznMwzknJWQw25TbyB4LKzDcqtKqBO_Mb
VXUP,AccuShares Spot CBOE VIX Up Shares,6.5,$276250,n/a,Others,n/a,http://www.nasdaq.com/symbol/vxup,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUOm7aACCjaL9kMMpt7N21FlGOznMwzknJWQw25TbyB4LKzDcqtKqBO_Mb
ACRX,"AcelRx Pharmaceuticals, Inc.",3.77,$170.68M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSem6KCbgg8ZgLdHDhcBo5kJXQ7FhBoYErgoFUNClZz7FzZqPDEjwos5uI
ACET,Aceto Corporation,24.58,$726.39M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRhUb5WXmQMVbpIdPZiTpK9Emv9FzSCNW1Z_sxfa59WnlXoRBGVR2Y0RR0
AKAO,"Achaogen, Inc.",3.88,$71.37M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQKgcOXF0Z5T2e8XMVM5GykJ_A4b81_2CBreTpsFXlkK2GUcrQ5lMSkqU4
ACHN,"Achillion Pharmaceuticals, Inc.",9.1,$1.24B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTLYI5-mZrbesE-feAVqNgrTmoOfCGoaTcly_uUIFpt6bsVEZcf3Igk9HYo
ACIW,"ACI Worldwide, Inc.",20.99,$2.5B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThgD1x_4eB2gdflSbTPi4AfLMn5nozAyDUkrt8tGPFukIclMPmKvt8yg
ACRS,"Aclaris Therapeutics, Inc.",19.66,$396.3M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQLjbdhqxZGzmdIuG37N8VwSO9halOxXrm6IdvQGbsitoXbCgkKs0fSHw
ACNB,ACNB Corporation,22.53,$136.07M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUkAO-nSQDJG0fqv5mgtuw_lA05Nb673ZyVwTHhL69RrCRxqusicBvIg
ACOR,"Acorda Therapeutics, Inc.",30.12,$1.38B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTVT5DtjXEJTP3UKySlWP8gymZLOD52i8O45RuvMkRp2jveO0OkWcJBSw
ACTS,"Actions Semiconductor Co., Ltd.",1.6,$70.91M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSSHNIFzBmBrY8m9qydKw9_Q2iutMm82IS4syqYZsJLt6cP9tG4BvuLsBM
ACPW,"Active Power, Inc.",1.01,$23.34M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcShf-XdErAARMJjt_P4LGR3Ds9i18hKklq65GhnHJrJG3mnXWjL3Te90n4
ATVI,"Activision Blizzard, Inc",34.65,$25.47B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT0HirtnFodgmJ33l8F9KpTEJrQDwAtgLVwV8AOTuT40UD7Wc7eFC-ITk78
ACTA,Actua Corporation,9.76,$392.88M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUwYpGs4NR1zBGhQoCha_m77lpAZx36NKd7KXxtlz7utOuceVJRrDKjBw
ACUR,"Acura Pharmaceuticals, Inc.",3.31,$39.17M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ6VaIultgUGvpNVBWBaToFrp4X78OOrLnEejLaEYYA7N_Y_WLlwlTwMgg
ACXM,Acxiom Corporation,21.83,$1.7B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXTOzKuC5bYo6mBWGQzyYbuMBHzQXO34uQ6tTs_Oc7SJ0HOzO8NC34S4s
ADMS,"Adamas Pharmaceuticals, Inc.",18.83,$403.29M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT0dgosiv39LcFnAE1_eL7gY6QrXa8NVFOK86cTnmbUDGF8UBHNdBPX-HzG1w
ADMP,Adamis Pharmaceuticals Corporation,8.18,$110.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcScs-XrsL3JSQtTGs-BNK_QboME6vEp_xWXLsi0Dk9X2EcM0Pt3iuCnBrg
ADAP,Adaptimmune Therapeutics plc,10.38,$734.75M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS9bbWyQHxAGFS9fe3oFECKLPFEnE6h5i-_6wf9wdWxId_X9bsB3T_Lmw
ADUS,Addus HomeCare Corporation,20.37,$226.48M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs7tLEMZXycrR6lKGD9xsMVn-BYncouWVc2DNzeW8QIw99B71sO81mm1CC
AEY,"ADDvantage Technologies Group, Inc.",1.76,$17.73M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTfq1vsSK_jq4oR69kpTpQuPI3K1vzbywiEXQV1e86BKBKFupSFZPIasH0
IOTS,Adesto Technologies Corporation,4.99,$74.85M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmi8U8NTUUk2YBn4_QVvWVxRJNo8lTsBTmwtJ7NrgF7GtUw9hgL2G77UY
ADMA,ADMA Biologics Inc,7.58,$81.21M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTHV6AN-Vf5ToFlvE3r-8An-L4CGCanLFgdLqCB5V82CMmff3NQU458b04
ADBE,Adobe Systems Incorporated,94.79,$47.41B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT9NyIby34I9VEr61wa1FPaBFZ5d9MqBnRqcSZjmWyVRHEhFtiXxHRb1_K_yA
